year,state_fips,state_name,total_pop,foreign_born,foreign_born_pct
2016,41,Oregon,4093465,394217,9.63
2016,42,Pennsylvania,12784227,870913,6.81
2016,44,Rhode Island,1056426,148480,14.05
2016,45,South Carolina,4961119,237964,4.8
2016,46,South Dakota,865454,30926,3.57
2016,47,Tennessee,6651194,320021,4.81
2016,48,Texas,27862596,4729920,16.98
2016,50,Vermont,624594,28223,4.52
2016,49,Utah,3051217,252333,8.27
2016,51,Virginia,8411808,1031169,12.26
2016,53,Washington,7288000,1020394,14.0
2016,54,West Virginia,1831102,31770,1.74
2016,55,Wisconsin,5778709,288544,4.99
2016,56,Wyoming,585501,18856,3.22
2016,72,Puerto Rico,3411307,91393,2.68
2016,01,Alabama,4863300,163629,3.36
2016,02,Alaska,741894,57364,7.73
2016,04,Arizona,6931071,934883,13.49
2016,05,Arkansas,2988248,138592,4.64
2016,06,California,39250017,10677663,27.2
2016,08,Colorado,5540545,544733,9.83
2016,10,Delaware,952065,89391,9.39
2016,11,District of Columbia,681170,90631,13.31
2016,09,Connecticut,3576452,514050,14.37
2016,12,Florida,20612439,4236511,20.55
2016,13,Georgia,10310371,1038312,10.07
2016,16,Idaho,1683140,97953,5.82
2016,15,Hawaii,1428557,262485,18.37
2016,17,Illinois,12801539,1783474,13.93
2016,18,Indiana,6633053,349169,5.26
2016,19,Iowa,3134693,160189,5.11
2016,20,Kansas,2907289,205522,7.07
2016,21,Kentucky,4436974,155964,3.52
2016,22,Louisiana,4681666,189921,4.06
2016,23,Maine,1331479,50768,3.81
2016,24,Maryland,6016447,921870,15.32
2016,25,Massachusetts,6811779,1123882,16.5
2016,26,Michigan,9928300,662279,6.67
2016,27,Minnesota,5519952,452436,8.2
2017,28,Mississippi,2984100,65718,2.2
2017,29,Missouri,6113532,257102,4.21
2017,30,Montana,1050493,23109,2.2
2017,31,Nebraska,1920076,143331,7.46
2017,32,Nevada,2998039,596019,19.88
2017,33,New Hampshire,1342795,83167,6.19
2017,34,New Jersey,9005644,2055062,22.82
2017,35,New Mexico,2088070,195508,9.36
2017,36,New York,19849399,4540381,22.87
2017,37,North Carolina,10273419,829416,8.07
2017,38,North Dakota,755393,31062,4.11
2017,39,Ohio,11658609,528291,4.53
2017,40,Oklahoma,3930864,223883,5.7
2017,41,Oregon,4142776,408718,9.87
2017,42,Pennsylvania,12805537,893769,6.98
2017,44,Rhode Island,1059639,147017,13.87
2017,45,South Carolina,5024369,244294,4.86
2017,46,South Dakota,869666,29401,3.38
2017,47,Tennessee,6715984,347754,5.18
2017,48,Texas,28304596,4854140,17.15
2017,50,Vermont,623657,28083,4.5
2017,49,Utah,3101833,269239,8.68
2017,51,Virginia,8470020,1062370,12.54
2017,53,Washington,7405743,1060153,14.32
2017,54,West Virginia,1815857,29954,1.65
2017,55,Wisconsin,5795483,288052,4.97
2017,56,Wyoming,579315,20520,3.54
2017,72,Puerto Rico,3337177,91402,2.74
2017,01,Alabama,4874747,169066,3.47
2017,02,Alaska,739795,58187,7.87
2017,04,Arizona,7016270,924900,13.18
2017,05,Arkansas,3004279,140078,4.66
2017,06,California,39536653,10653414,26.95
2017,08,Colorado,5607154,550768,9.82
2017,10,Delaware,961939,98493,10.24
2017,11,District of Columbia,693972,101860,14.68
2017,09,Connecticut,3588184,530245,14.78
2017,12,Florida,20984400,4379341,20.87
2017,13,Georgia,10429379,1065968,10.22
2017,16,Idaho,1716943,101140,5.89
2017,15,Hawaii,1427538,265565,18.6
2017,17,Illinois,12802023,1832421,14.31
2017,18,Indiana,6666818,351233,5.27
2017,19,Iowa,3145711,166728,5.3
2017,20,Kansas,2913123,200557,6.88
2017,21,Kentucky,4454189,169085,3.8
2017,22,Louisiana,4684333,191403,4.09
2017,23,Maine,1335907,45433,3.4
2017,24,Maryland,6052177,927936,15.33
2017,25,Massachusetts,6859819,1156472,16.86
