year,state_fips,state_name,pop_25plus,bachelors_or_higher,bachelors_pct
2014,23,Maine,959407,281781,29.37
2014,24,Maryland,4062813,1553684,38.24
2014,25,Massachusetts,4654351,1916729,41.18
2014,26,Michigan,6680525,1827339,27.35
2014,27,Minnesota,3672583,1258534,34.27
2014,28,Mississippi,1950710,410953,21.07
2014,29,Missouri,4076767,1120711,27.49
2014,30,Montana,695850,203839,29.29
2014,31,Nebraska,1224701,361769,29.54
2014,32,Nevada,1919598,443463,23.1
2014,33,New Hampshire,931304,326030,35.01
2014,34,New Jersey,6127931,2291268,37.39
2014,35,New Mexico,1373822,362934,26.42
2014,36,New York,13539612,4667982,34.48
2014,37,North Carolina,6661937,1912564,28.71
2014,38,North Dakota,478850,131316,27.42
2014,39,Ohio,7857460,2092218,26.63
2014,40,Oklahoma,2529885,611368,24.17
2014,41,Oregon,2746957,846246,30.81
2014,42,Pennsylvania,8858865,2567725,28.98
2014,44,Rhode Island,725871,220894,30.43
2014,45,South Carolina,3260929,856973,26.28
2014,46,South Dakota,555488,154216,27.76
2014,47,Tennessee,4425073,1118307,25.27
2014,48,Texas,17087888,4749029,27.79
2014,50,Vermont,438279,152901,34.89
2014,49,Utah,1704734,530203,31.1
2014,51,Virginia,5623295,2066339,36.75
2014,53,Washington,4784484,1584776,33.12
2014,54,West Virginia,1296350,248257,19.15
2014,55,Wisconsin,3898162,1108094,28.43
2014,56,Wyoming,388962,103333,26.57
2014,72,Puerto Rico,2400677,586712,24.44
2015,28,Mississippi,1952337,406599,20.83
2015,29,Missouri,4097212,1140860,27.84
2015,30,Montana,706329,216174,30.61
2015,31,Nebraska,1232583,372288,30.2
2015,32,Nevada,1968167,463681,23.56
2015,33,New Hampshire,937214,334313,35.67
2015,34,New Jersey,6166384,2318073,37.59
2015,35,New Mexico,1377548,364462,26.46
2015,36,New York,13641473,4778463,35.03
2015,37,North Carolina,6762644,1991057,29.44
2015,38,North Dakota,492017,143403,29.15
2015,39,Ohio,7896470,2115116,26.79
2015,40,Oklahoma,2557863,630004,24.63
2015,41,Oregon,2804461,901667,32.15
2015,42,Pennsylvania,8895727,2641023,29.69
2015,44,Rhode Island,730083,238818,32.71
2015,45,South Carolina,3319832,890241,26.82
2015,46,South Dakota,563108,154885,27.51
2015,47,Tennessee,4473487,1151080,25.73
2015,48,Texas,17472861,4955374,28.36
2015,50,Vermont,438654,162072,36.95
2015,49,Utah,1741949,554712,31.84
2015,51,Virginia,5685318,2102044,36.97
2015,53,Washington,4889314,1670893,34.17
2015,54,West Virginia,1300347,254414,19.57
2015,55,Wisconsin,3918997,1112458,28.39
2015,56,Wyoming,388747,102034,26.25
2015,72,Puerto Rico,2382526,590228,24.77
2015,01,Alabama,3282252,792876,24.16
2015,02,Alaska,469523,139416,29.69
2015,04,Arizona,4536954,1257449,27.72
2015,05,Arkansas,1987819,433381,21.8
2015,06,California,26085263,8415690,32.26
2015,08,Colorado,3671853,1440776,39.24
2015,10,Delaware,652636,201929,30.94
2015,11,District of Columbia,472884,268345,56.75
2015,09,Connecticut,2474718,948044,38.31
2015,12,Florida,14394281,4092338,28.43
2015,13,Georgia,6683767,2000113,29.92
2015,16,Idaho,1065982,276912,25.98
2015,15,Hawaii,985914,309194,31.36
2015,17,Illinois,8661938,2853540,32.94
2015,18,Indiana,4363573,1088120,24.94
2015,19,Iowa,2074504,556591,26.83
2015,20,Kansas,1888479,599063,31.72
2015,21,Kentucky,2988790,696174,23.29
2015,22,Louisiana,3095255,718058,23.2
2015,23,Maine,961240,289553,30.12
2015,24,Maryland,4102486,1591614,38.8
2015,25,Massachusetts,4706644,1951689,41.47
2015,26,Michigan,6728347,1870473,27.8
2015,27,Minnesota,3700935,1284007,34.69
2016,28,Mississippi,1957022,426263,21.78
2016,29,Missouri,4121014,1172650,28.46
2016,30,Montana,712616,220606,30.96
