District,Incumbent,Party,FiveThirtyEight Partisan Lean (2021 Version),FiveThirtyEight Partisan Lean (2020 Version),Cook PVI,Biden %,Trump %,2020 Pres. Margin,Clinton %,Trump %,2016 Pres. Margin,Obama %,Romney %,2012 Pres. Margin,Obama %,McCain %,2008 Pres. Margin,FiveThirtyEight Elasticity,Non-Hispanic White CVAP,Black CVAP,Hispanic CVAP,Asian CVAP,Median Household Income,% Bachelor's Degree or Higher (25+ Pop.),College-Educated Non-Hispanic White % (25+ Pop.),Non-College Non-Hispanic White % (25+ Pop.),Density Index
CA-40,"Roybal-Allard, Lucille",D,D+57,D+63,D+33,77%,21%,57%,82%,13%,69%,82%,17%,65%,77%,19%,58%,1.25,8.2%,7.8%,79.5%,3.7%,"$43,499",9.5%,1.3%,4.7%,Pure urban
CA-41,"Takano, Mark",D,D+22,D+22,D+12,62%,36%,26%,61%,33%,28%,62%,36%,25%,59%,38%,21%,1.22,32.0%,11.3%,48.3%,6.1%,"$60,629",17.0%,7.7%,21.6%,Dense suburban
CA-42,"Calvert, Ken",R,R+13,R+18,R+9,45%,53%,-7%,41%,53%,-12%,41%,57%,-15%,43%,54%,-11%,0.97,51.1%,6.3%,30.7%,8.9%,"$77,297",25.1%,13.3%,34.9%,Sparse suburban
CA-43,"Waters, Maxine",D,D+54,D+56,D+29,77%,21%,56%,78%,17%,62%,78%,20%,58%,75%,22%,53%,0.86,20.0%,28.4%,34.7%,13.6%,"$52,806",25.5%,7.5%,9.8%,Pure urban
CA-44,"Barragan, Nanette",D,D+59,D+66,D+35,78%,19%,59%,83%,12%,71%,85%,14%,71%,81%,16%,65%,0.81,10.5%,22.9%,57.2%,7.2%,"$49,774",12.6%,2.5%,6.5%,Pure urban
CA-45,"Porter, Katie",D,D+6,R+6,R+3,55%,43%,11%,50%,44%,5%,43%,55%,-12%,46%,51%,-5%,0.97,59.8%,1.9%,14.9%,20.5%,"$97,431",53.8%,30.3%,25.6%,Urban-suburban mix
CA-46,"Correa, Lou",D,D+29,D+29,D+15,64%,34%,31%,66%,28%,38%,61%,36%,25%,58%,39%,19%,0.94,29.9%,2.5%,48.9%,17.0%,"$59,863",18.0%,6.7%,15.4%,Pure urban
CA-47,"Lowenthal, Alan",D,D+25,D+23,D+13,63%,35%,27%,63%,31%,32%,60%,38%,23%,58%,39%,19%,0.95,40.6%,8.5%,25.4%,22.4%,"$63,887",31.1%,15.4%,21.7%,Pure urban
CA-48,"Steel, Michelle",R,R+2,R+8,R+4,50%,48%,1%,48%,46%,2%,43%,55%,-12%,46%,51%,-5%,1.06,63.3%,1.3%,14.7%,17.7%,"$87,413",44.4%,30.7%,29.2%,Urban-suburban mix
CA-49,"Levin, Mike",D,D+7,R+3,R+1,55%,43%,13%,51%,43%,8%,46%,52%,-7%,49%,48%,1%,0.92,69.3%,2.8%,18.8%,6.2%,"$82,202",44.1%,34.1%,32.1%,Dense suburban
CA-50,"Issa, Darrell",R,R+14,R+23,R+11,45%,53%,-8%,40%,55%,-15%,38%,60%,-23%,39%,58%,-19%,1.02,65.5%,3.1%,22.0%,5.5%,"$70,774",27.8%,20.3%,41.4%,Dense suburban
CA-51,"Vargas, Juan",D,D+36,D+41,D+22,67%,31%,36%,72%,23%,49%,69%,29%,41%,65%,32%,33%,0.98,19.8%,9.0%,59.9%,9.4%,"$44,759",14.2%,4.1%,12.2%,Urban-suburban mix
CA-52,"Peters, Scott",D,D+23,D+12,D+6,63%,34%,29%,58%,36%,23%,52%,46%,6%,55%,43%,12%,1.00,65.2%,3.3%,11.9%,16.0%,"$89,955",57.6%,37.7%,24.4%,Urban-suburban mix
CA-53,"Jacobs, Sara",D,D+32,D+26,D+14,67%,31%,36%,65%,30%,35%,61%,36%,25%,61%,36%,25%,0.96,48.3%,8.6%,26.8%,12.6%,"$68,799",37.1%,21.4%,25.0%,Urban-suburban mix
